fold,mse,pearson_avg,model,type
4,0.651344941143435,0.73575969894539,LinearRegression_esm_kd,ML
0,0.8620571857406966,0.37380600742581926,Lasso_t5,ML
1,0.8715576685924529,0.3636208823023667,Lasso_t5,ML
2,0.8704634921465743,0.36161935389282845,Lasso_t5,ML
3,0.8703245990104931,0.36238109342342817,Lasso_t5,ML
4,0.8718643998148672,0.3590874442154951,Lasso_t5,ML
0,0.8620571857406966,0.37380600742581926,Lasso_t5_kd,ML
1,0.8715576685924529,0.3636208823023667,Lasso_t5_kd,ML
2,0.8704634921465743,0.36161935389282845,Lasso_t5_kd,ML
3,0.8703245990104931,0.36238109342342817,Lasso_t5_kd,ML
4,0.8718643998148672,0.3590874442154951,Lasso_t5_kd,ML
0,0.8513576714416502,0.3859357368146461,Lasso_esm,ML
1,0.8561183542577844,0.3810584628646115,Lasso_esm,ML
2,0.8636487113669007,0.37065648982844845,Lasso_esm,ML
3,0.8583073078026006,0.3769829265275209,Lasso_esm,ML
4,0.8653058591144749,0.37119823156385034,Lasso_esm,ML
0,0.8415215313044409,0.39205931848762066,Lasso_esm_kd,ML
1,0.8535311287512304,0.3799972694545108,Lasso_esm_kd,ML
2,0.8494375635555581,0.3786423991901741,Lasso_esm_kd,ML
3,0.8507806762526121,0.3814924019605004,Lasso_esm_kd,ML
4,0.8478372906911483,0.3813830520617421,Lasso_esm_kd,ML
0,0.4625898361257454,0.728821292013989,Ridge_t5,ML
1,0.46180891696300347,0.7236642820830108,Ridge_t5,ML
2,0.4271260138079437,0.7514486982720503,Ridge_t5,ML
3,0.4099910194620379,0.7574858780553133,Ridge_t5,ML
4,0.45408919913231155,0.7337207728124637,Ridge_t5,ML
0,0.4440217296852311,0.7442529961379919,Ridge_t5_kd,ML
1,0.42699814223930993,0.7428412010802377,Ridge_t5_kd,ML
2,0.4020575070009069,0.7673556669504288,Ridge_t5_kd,ML
3,0.3714716880982781,0.7848952242964375,Ridge_t5_kd,ML
4,0.4027760457837688,0.7745051361497228,Ridge_t5_kd,ML
0,0.4046711744030524,0.7631252850544049,Ridge_esm,ML
1,0.42585946581121176,0.7570283606463002,Ridge_esm,ML
2,0.41726660662846626,0.7616327529074802,Ridge_esm,ML
3,0.4047427197654397,0.7602986814996944,Ridge_esm,ML
4,0.45424169391853636,0.7568759413915378,Ridge_esm,ML
0,0.38004143804124557,0.7850813768390488,Ridge_esm_kd,ML
1,0.3761508454785473,0.78573431216415,Ridge_esm_kd,ML
2,0.3916590972598847,0.788451503897562,Ridge_esm_kd,ML
3,0.36313196585716206,0.7958515171465523,Ridge_esm_kd,ML
4,0.40471621602287633,0.7898229951230435,Ridge_esm_kd,ML
0,0.8613892157295452,0.3747094904330054,ElasticNet_t5,ML
1,0.870840442246089,0.36458968404403963,ElasticNet_t5,ML
2,0.869767517174418,0.3624878945766935,ElasticNet_t5,ML
3,0.8697110863292071,0.3632283782348018,ElasticNet_t5,ML
4,0.8712312355409632,0.3599178927817481,ElasticNet_t5,ML
0,0.861846419313347,0.37403453738876985,ElasticNet_t5_kd,ML
1,0.8712747900802104,0.36390468419748123,ElasticNet_t5_kd,ML
2,0.8702126202286905,0.36184383254918434,ElasticNet_t5_kd,ML
3,0.8700992813438418,0.3626164804730595,ElasticNet_t5_kd,ML
4,0.8716596981960824,0.35929200751247925,ElasticNet_t5_kd,ML
0,0.841286385681494,0.39893878985558767,ElasticNet_esm,ML
1,0.8467953704344539,0.3940285988800018,ElasticNet_esm,ML
2,0.8607930329963592,0.3752568839239173,ElasticNet_esm,ML
3,0.8479475029741822,0.39032773411634225,ElasticNet_esm,ML
4,0.8588487121821272,0.38156394930092835,ElasticNet_esm,ML
0,0.8322693552285402,0.40752340169708984,ElasticNet_esm_kd,ML
1,0.8439529984055265,0.39415767134432894,ElasticNet_esm_kd,ML
2,0.8382201359789533,0.397088304725032,ElasticNet_esm_kd,ML
3,0.8419624304783588,0.39337478766122985,ElasticNet_esm_kd,ML
4,0.8371604717125051,0.3982802340335422,ElasticNet_esm_kd,ML
0,0.9956244662371893,0.5401522084967553,DecisionTreeRegressor_t5,ML
1,1.0512925142297567,0.49649849374205474,DecisionTreeRegressor_t5,ML
2,0.9684623935226185,0.5404131308952339,DecisionTreeRegressor_t5,ML
3,1.0203654331247975,0.5209214262976881,DecisionTreeRegressor_t5,ML
4,1.0122413023576338,0.5463512143939023,DecisionTreeRegressor_t5,ML
0,0.807512212472724,0.6254557555215176,DecisionTreeRegressor_t5_kd,ML
1,1.0232564974615515,0.5172142392801751,DecisionTreeRegressor_t5_kd,ML
2,0.9161780899780941,0.5715934608963448,DecisionTreeRegressor_t5_kd,ML
3,0.9596768640218214,0.529922606359015,DecisionTreeRegressor_t5_kd,ML
4,0.8294099281514363,0.6155031441370882,DecisionTreeRegressor_t5_kd,ML
0,1.0720736758339562,0.5103519287242019,DecisionTreeRegressor_esm,ML
1,1.1493438720325744,0.4568753970234343,DecisionTreeRegressor_esm,ML
2,1.0900829830578949,0.49716598145377855,DecisionTreeRegressor_esm,ML
3,1.1164040713900563,0.4873176594733846,DecisionTreeRegressor_esm,ML
4,1.0596121371333236,0.5264527015987692,DecisionTreeRegressor_esm,ML
0,0.8190689746505992,0.620070875026104,DecisionTreeRegressor_esm_kd,ML
1,0.8755348719941797,0.5808967348196825,DecisionTreeRegressor_esm_kd,ML
2,0.8806864219257722,0.6105045839249043,DecisionTreeRegressor_esm_kd,ML
3,0.7413472999428699,0.6473000575434971,DecisionTreeRegressor_esm_kd,ML
4,0.9670695973839605,0.575626365653123,DecisionTreeRegressor_esm_kd,ML
0,0.48603740888230046,0.7089743704164843,KNN_t5,ML
1,0.49077273487887274,0.7034748395557014,KNN_t5,ML
2,0.511175417176538,0.690671302955813,KNN_t5,ML
3,0.4821797766689119,0.7086305555784042,KNN_t5,ML
4,0.47331736743396835,0.717285241140616,KNN_t5,ML
0,0.416792881130647,0.7536364229935909,KNN_t5_kd,ML
1,0.4312012905067661,0.7479279266017402,KNN_t5_kd,ML
2,0.3915279200845727,0.7680144786060844,KNN_t5_kd,ML
3,0.38655170880847867,0.7735313669702104,KNN_t5_kd,ML
4,0.4117770874875185,0.7578292483581089,KNN_t5_kd,ML
0,0.555238124089911,0.6649631982232886,KNN_esm,ML
1,0.5321862384989672,0.6739088180713738,KNN_esm,ML
2,0.612889697440277,0.618054555327432,KNN_esm,ML
3,0.5609269520513211,0.6450411085396078,KNN_esm,ML
4,0.589947497325655,0.6469078046869617,KNN_esm,ML
0,0.48690223182429165,0.7057705448466137,KNN_esm_kd,ML
1,0.4820998463297025,0.7044119318911809,KNN_esm_kd,ML
2,0.4459051696632976,0.7379431780437574,KNN_esm_kd,ML
3,0.4589760917197972,0.7241092192422869,KNN_esm_kd,ML
4,0.4438423588157074,0.7324557797782514,KNN_esm_kd,ML
