kinase,max
PHKG2,0.2419901065826916
GRK7,0.2415868393825929
AMPKA2,0.2412538345299689
SLK,0.2403697989223697
BUB1,0.2402319438829384
PRKD1,0.2373593609879945
ERK5,0.2333668110565339
QSK,0.2320700886781389
NDR1,0.2303502375163296
MYO3A,0.230075485827488
ACVR2A,0.2287390923690712
DRAK1,0.2266700449794456
PKCT,0.2261297803079844
PKCA,0.2243690679425952
PLK3,0.2241575829770824
PHKG1,0.2241228560387553
PDK1,0.2225460398064575
ACVR2B,0.2216145653997403
CAMK4,0.2212441706043084
CAMLCK,0.2194565226611393
CLK3,0.2185318447270108
PKCB,0.2174877889662289
CAMK1B,0.2156109773088733
PASK,0.2123350477111186
CAMK2B,0.2074154082500614
TTBK2,0.206782451073492
KHS2,0.2056265028093512
MPSK1,0.2039668310936537
IKKA,0.2035810122601481
EEF2K,0.2003322342301546
PKCG,0.1998637685656737
CHAK2,0.1994846781134543
MARK4,0.1992516673881578
PKN2,0.1981001048037703
CDC7,0.197686444719756
PKCH,0.1972614007820225
TTK,0.1942222305203736
SNRK,0.1934663992721574
PKCZ,0.1925881222134391
ULK1,0.1914026522015961
AMPKA1,0.1912575043714363
MLK3,0.190143165685154
NDR2,0.1900734743326899
MAP3K15,0.1885345970093362
NIM1,0.1885103473722236
BCKDK,0.188211492151406
SKMLCK,0.1879416661099805
PLK1,0.1866388609350698
DAPK2,0.1854087253629945
GRK1,0.1849030895105643
IRE2,0.1848296729746514
CAMK2G,0.1845124268453251
PKCD,0.1835856394868147
STLK3,0.182770898150827
CAMK2D,0.1818472280244652
MLK4,0.1814052797859798
TSSK1,0.1812846409499414
LATS1,0.1789969032943662
BRAF,0.1786727042489864
QIK,0.1771030827223073
VRK2,0.1756944449686698
SSTK,0.1748883596621094
MEKK6,0.1735076945128193
GCN2,0.1718305573900234
YSK1,0.1715520303625645
HPK1,0.1704494152970595
CHK1,0.1703914681273711
NEK2,0.1675070403280303
MYO3B,0.1674617158412828
IKKE,0.1665523729087083
MEKK2,0.1660434779957496
MST3,0.1660349091500589
HGK,0.1639461288053732
LKB1,0.1639139977062322
KHS1,0.1600232474780632
TAO1,0.1583905524347449
IKKB,0.1572793863112016
MST4,0.1558736787140079
MLK1,0.1551582018764851
MST1,0.1522058052663252
MEK1,0.1518910228732994
RIPK2,0.1513018391446559
PERK,0.1505325388711041
OSR1,0.1497839234063378
IRE1,0.1491721029117549
LOK,0.1472459788762885
PDHK1,0.1472004326235974
TBK1,0.146977432134831
TSSK2,0.1468911301419577
TNIK,0.1468725432593245
MINK,0.1453041457802518
MST2,0.1443791014987107
RIPK3,0.1438714428964649
PLK4,0.1435982182127463
TLK1,0.141019153872298
NEK8,0.1402545032809263
HRI,0.1394021600023928
NEK11,0.13919125483416
GRK6,0.1375278680714096
TAO2,0.1370295814586082
IRAK1,0.1352171761521992
GCK,0.1349417527148939
PRPK,0.1340854495702069
ULK2,0.1334101994501481
NEK3,0.1331897835823024
PINK1,0.1323926608412383
MEK2,0.1322814768197212
HUNK,0.1311600548015462
WNK1,0.1309556544189773
MOS,0.1298923967854027
MTOR,0.1294163367133516
LRRK2,0.1287903390019459
TAK1,0.1283379745435482
YSK4,0.1281122610038278
NIK,0.1276949057521981
MEKK3,0.1272743559497789
TLK2,0.1257579636616059
CHAK1,0.1256194969891718
RIPK1,0.1252147132784957
NEK6,0.1249980223268551
TAO3,0.1235032136207647
NEK1,0.1229212940785453
NEK4,0.12222359738284
NEK9,0.1215651764842683
DSTYK,0.1211885768627036
CAMKK1,0.120353260112184
COT,0.1202758729453622
IRAK4,0.1191972401248271
CAMKK2,0.1191412981377631
WNK4,0.1185771371507515
NEK7,0.1177751000577321
GRK4,0.1169563467589802
NEK5,0.1149340931924078
PKR,0.1141987403669019
PDHK4,0.1134920636568135
MEKK1,0.1132053882027851
MEK5,0.111033825975673
RAF1,0.1105543715697736
ZAK,0.1079594702711196
GRK5,0.1069517053479513
DLK,0.1021870368278211
ANKRD3,0.1020579199251906
MLK2,0.0971127723129212
MASTL,0.0932935158010657
WNK3,0.0848033999587054
BMPR2,0.0841639620516292
